Year,Qtn,Type
2010,8273000,Cattle
2010,1676161,Goats
2010,6300000,Turkey
2010,4616700,Pigs
2010,25664000,Sheep
2011,7942500,Cattle
2011,1738710,Goats
2011,6200000,Turkey
2011,4662800,Pigs
2011,23114800,Sheep
2012,7977700,Cattle
2012,1857211,Goats
2012,6430000,Turkey
2012,4727900,Pigs
2012,24791100,Sheep
2013,9034200,Cattle
2013,2073395,Goats
2013,6335000,Turkey
2013,4777200,Pigs
2013,30430400,Sheep
2014,9896168,Cattle
2014,2128742,Goats
2014,6347000,Turkey
2014,4771375,Pigs
2014,32194500,Sheep
2015,10103100,Cattle
2015,2130000,Goats
2015,6325000,Turkey
2015,4923863,Pigs
2015,31888500,Sheep
2016,8796400,Cattle
2016,2157543,Goats
2016,6310000,Turkey
2016,4999600,Pigs
2016,31257900,Sheep
2017,7423300,Cattle
2017,2087349,Goats
2017,6320000,Turkey
2017,5159800,Pigs
2017,28896900,Sheep
2018,7913300,Cattle
2018,1912977,Goats
2018,6215000,Turkey
2018,5378100,Pigs
2018,31828400,Sheep
