Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2010","2010","tonnes","5676946","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2011","2011","tonnes","5511545","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2012","2012","tonnes","5547100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2013","2013","tonnes","5532760","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2014","2014","tonnes","5556997","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2015","2015","tonnes","5566141","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2016","2016","tonnes","5565945","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2017","2017","tonnes","5725595","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","867","Meat, cattle","2018","2018","tonnes","5810609","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2010","2010","tonnes","12184797","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2011","2011","tonnes","12582062","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2012","2012","tonnes","13198476","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2013","2013","tonnes","13326968","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2014","2014","tonnes","12831940","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2015","2015","tonnes","12639335","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2016","2016","tonnes","13485262","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2017","2017","tonnes","14451797","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1058","Meat, chicken","2018","2018","tonnes","14578673","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2010","2010","tonnes","51693862","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2011","2011","tonnes","51593351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2012","2012","tonnes","54435720","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2013","2013","tonnes","55917319","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2014","2014","tonnes","57660394","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2015","2015","tonnes","57415567","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2016","2016","tonnes","55207733","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2017","2017","tonnes","55451487","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","1035","Meat, pig","2018","2018","tonnes","54983905","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2010","2010","tonnes","2070702","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2011","2011","tonnes","2029596","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2012","2012","tonnes","2062950","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2013","2013","tonnes","2090490","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2014","2014","tonnes","2180913","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2015","2015","tonnes","2243643","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2016","2016","tonnes","2347275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2017","2017","tonnes","2402457","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","351","China","5510","Production","977","Meat, sheep","2018","2018","tonnes","2422857","A","Aggregate, may include official, semi-official, estimated or calculated data"
